Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 0 -9.139161 0.0 -100.605 13.5458 -162.127 387.643 -2573.84 392.026 -2650.43 0.0 392.026 -2650.43 -4.41964 -100.605 -2363.4287 6.603 6.603
4 1 -9.139161 0.0 -100.605 13.5458 -162.127 387.643 -2573.84 392.026 -2650.43 0.0 392.026 -2650.43 -4.41964 -100.605 -2363.4287 6.603 6.603
4 2 -9.011035 0.0 -98.5306 13.5119 -161.625 387.643 -2573.84 392.011 -2651.07 0.0 392.011 -2651.07 -4.77919 -98.5306 -2362.369 8.97381 8.97381
4 3 -9.011035 0.0 -98.5306 13.5119 -161.625 387.643 -2573.84 392.011 -2651.07 0.0 392.011 -2651.07 -4.77919 -98.5306 -2362.369 8.97381 8.97381
4 4 -9.011035 0.0 -98.5306 13.5119 -161.625 387.643 -2573.84 392.011 -2651.07 0.0 392.011 -2651.07 -4.77919 -98.5306 -2362.369 8.97381 8.97381
4 5 -9.286839 0.0 -102.673 13.5475 -161.797 387.643 -2573.84 391.92 -2649.15 0.0 391.92 -2649.15 -2.23174 -102.673 -2362.1348 7.82677 7.82677
4 6 -9.286839 0.0 -102.673 13.5475 -161.797 387.643 -2573.84 391.92 -2649.15 0.0 391.92 -2649.15 -2.23174 -102.673 -2362.1348 7.82677 7.82677
4 7 -9.286839 0.0 -102.673 13.5475 -161.797 387.643 -2573.84 391.92 -2649.15 0.0 391.92 -2649.15 -2.23174 -102.673 -2362.1348 7.82677 7.82677
5 0 -8.838385 0.0 -92.1645 14.1568 -159.682 387.643 -2573.84 386.894 -2647.24 0.0 386.894 -2647.24 -10.5251 -92.1645 -2363.0356 -12.7566 -12.7566
5 1 -8.838385 0.0 -92.1645 14.1568 -159.682 387.643 -2573.84 386.894 -2647.24 0.0 386.894 -2647.24 -10.5251 -92.1645 -2363.0356 -12.7566 -12.7566
5 2 -8.838385 0.0 -92.1645 14.1568 -159.682 387.643 -2573.84 386.894 -2647.24 0.0 386.894 -2647.24 -10.5251 -92.1645 -2363.0356 -12.7566 -12.7566
5 3 -8.838385 0.0 -92.1645 14.1568 -159.682 387.643 -2573.84 386.894 -2647.24 0.0 386.894 -2647.24 -10.5251 -92.1645 -2363.0356 -12.7566 -12.7566
5 4 -8.568195 0.0 -90.0142 14.1099 -160.323 387.643 -2573.84 386.983 -2647.0 0.0 386.983 -2647.0 -9.45195 -90.0142 -2359.4832 -11.2127 -11.2127
